starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:18:34 2017	1489432714	0	160	160	151
Mon Mar 13 13:18:34 2017	1489432714	0	161	161	158
Mon Mar 13 13:18:34 2017	1489432714	0	161	161	154
Mon Mar 13 13:18:36 2017	1489432716	0	161	161	160
Mon Mar 13 13:18:36 2017	1489432716	0	161	161	150
Mon Mar 13 13:18:36 2017	1489432716	0	161	161	159
Mon Mar 13 13:18:35 2017	1489432715	0	162	162	148
Mon Mar 13 13:18:33 2017	1489432713	0	162	162	154
Mon Mar 13 13:18:34 2017	1489432714	0	162	162	156
Mon Mar 13 13:18:34 2017	1489432714	0	162	162	157
Mon Mar 13 13:18:36 2017	1489432716	0	162	162	160
Mon Mar 13 13:18:36 2017	1489432716	0	162	162	155
Mon Mar 13 13:18:34 2017	1489432714	0	163	163	161
Mon Mar 13 13:18:35 2017	1489432715	0	163	163	153
Mon Mar 13 13:18:35 2017	1489432715	0	163	163	155
Mon Mar 13 13:18:36 2017	1489432716	0	163	163	159
Mon Mar 13 13:18:35 2017	1489432715	0	163	163	160
Mon Mar 13 13:18:33 2017	1489432713	0	163	163	155
Mon Mar 13 13:18:36 2017	1489432716	0	163	163	157
Mon Mar 13 13:18:33 2017	1489432713	0	163	163	160
Mon Mar 13 13:18:34 2017	1489432714	0	163	163	157
Mon Mar 13 13:18:34 2017	1489432714	0	164	164	157
Mon Mar 13 13:18:35 2017	1489432715	0	164	164	156
Mon Mar 13 13:18:36 2017	1489432716	0	164	164	156
Mon Mar 13 13:18:35 2017	1489432715	0	164	164	156
Mon Mar 13 13:18:35 2017	1489432715	0	164	164	161
Mon Mar 13 13:18:36 2017	1489432716	0	164	164	162
Mon Mar 13 13:18:36 2017	1489432716	0	164	164	154
Mon Mar 13 13:18:33 2017	1489432713	0	165	165	158
Mon Mar 13 13:18:34 2017	1489432714	0	165	165	158
Mon Mar 13 13:18:36 2017	1489432716	0	165	165	160
Mon Mar 13 13:18:34 2017	1489432714	0	165	165	161
Mon Mar 13 13:18:35 2017	1489432715	0	165	165	157
Mon Mar 13 13:18:35 2017	1489432715	0	165	165	161
Mon Mar 13 13:18:36 2017	1489432716	0	165	165	164
Mon Mar 13 13:18:34 2017	1489432714	0	165	165	156
Mon Mar 13 13:18:34 2017	1489432714	0	165	165	155
Mon Mar 13 13:18:34 2017	1489432714	0	166	166	164
Mon Mar 13 13:18:35 2017	1489432715	0	166	166	163
Mon Mar 13 13:18:35 2017	1489432715	0	167	167	157
Mon Mar 13 13:18:35 2017	1489432715	0	167	167	162
